$0, $thru, $rt, $uCGIApplication, $uDBDisk, $uDBP, $uDBS, $uProtocolStack, $uWSDisk, $uWSP, $uWebServer
1, 0.00049741, 10.4159, 0.00275173, 0.00163275, 0.00244104, 0.00244104, 0.00468378, 0.00177593, 0.0022425, 0.00180747
5, 0.00248647, 10.8795, 0.0137557, 0.00816183, 0.0122023, 0.0122023, 0.0234184, 0.00887756, 0.0112099, 0.0090355
10, 0.00497145, 11.4842, 0.0275032, 0.0163187, 0.0243972, 0.0243972, 0.0468348, 0.0177497, 0.0224128, 0.0180659
50, 0.024782, 17.5932, 0.137043, 0.0813264, 0.121587, 0.121587, 0.233928, 0.0884558, 0.111691, 0.0900256
75, 0.0370717, 23.1157, 0.204951, 0.121669, 0.1819, 0.181897, 0.350261, 0.132326, 0.167074, 0.134639
100, 0.0492418, 30.815, 0.272064, 0.161594, 0.241587, 0.241581, 0.465749, 0.17573, 0.22186, 0.178734
125, 0.0612097, 42.1937, 0.337914, 0.200841, 0.300261, 0.30025, 0.579557, 0.218378, 0.275681, 0.222002
150, 0.0728091, 60.2354, 0.401558, 0.238863, 0.3571, 0.357084, 0.690098, 0.259667, 0.327774, 0.263826
175, 0.0836823, 91.3319, 0.46102, 0.274479, 0.410344, 0.410322, 0.793941, 0.298312, 0.376521, 0.302907
200, 0.0928391, 154.576, 0.510865, 0.304381, 0.455051, 0.455033, 0.881597, 0.330742, 0.417428, 0.335676
300, 0.10409, 883.847, 0.57161, 0.340759, 0.509473, 0.50952, 0.989696, 0.370231, 0.467265, 0.37563
400, 0.105052, 1810.15, 0.576771, 0.343838, 0.514082, 0.514142, 0.998975, 0.373578, 0.471492, 0.379024
450, 0.105234, 2279.03, 0.577751, 0.344428, 0.514965, 0.515025, 1.00072, 0.374217, 0.472298, 0.379669
500, 0.105357, 2748.97, 0.578409, 0.344821, 0.515554, 0.515615, 1.00191, 0.374644, 0.472838, 0.380102
550, 0.105443, 3219.61, 0.578874, 0.345099, 0.51597, 0.516032, 1.00274, 0.374946, 0.473219, 0.380407
